77.2735	22.6	12.7
86.3645	23.6	11.1
113.6375	21.2	12.0
159.0925	19.5	12.1
295.4575	19.7	12.1
304.5485	22.5	11.1
313.6395	20.5	6.4
322.7305	21.5	9.9
331.8215	21.4	9.8
340.9125	20.6	10.2
345.458	19.3	9.9
350.0035	23.9	13.0
354.549	20.1	6.4
359.0945	21.8	8.6
363.64	18.3	8.7
368.1855	24.4	10.5
377.2765	19.7	9.5
395.4585	18.1	9.6
413.6405	16.1	6.0
418.186	16.7	9.4
427.277	20.6	7.7
431.8225	19.5	8.8
459.0955	16.3	7.2
463.641	19.0	11.0
468.1865	15.7	10.9
472.732	22.8	9.5
477.2775	19.5	9.4
481.823	17.1	9.8
486.3685	20.2	8.8
490.914	18.5	9.1
495.4595	23.1	12.0
504.5505	19.0	8.0
513.6415	20.0	10.0
518.187	18.1	7.0
522.7325	20.4	9.7
531.8235	21.8	9.3
536.369	18.8	10.0
540.9145	24.5	8.5
545.46	16.8	10.2
550.0055	19.5	8.7
554.551	15.4	8.7
559.0965	20.3	11.9
377.2765	19.7	8.6
395.4585	16.3	8.5
413.6405	19.9	10.1
418.186	16.2	7.5
427.277	19.9	9.4
431.8225	21.7	10.8
459.0955	16.8	9.7
463.641	16.8	9.7
468.1865	18.3	10.6
472.732	22.7	10.2
477.2775	19.1	8.2
481.823	16.6	10.0
486.3685	20.0	8.9
490.914	18.2	6.9
495.4595	24.5	12.3
504.5505	17.1	6.3
513.6415	19.6	9.7
518.187	16.2	9.1
522.7325	19.5	10.6
531.8235	22.0	8.5
536.369	20.9	10.3
540.9145	22.4	8.7
545.46	16.8	9.3
550.0055	19.7	10.1
554.551	17.5	9.1
559.0965	18.9	9.2
572.733	16.5	10.8
577.2785	21.0	9.5
581.824	18.2	9.6
586.3695	19.6	11.1
590.915	16.9	9.2
595.4605	19.6	10.3
604.5515	15.9	8.2
613.6425	21.5	9.3
618.188	20.3	11.8
622.7335	19.7	11.9
627.279	19.3	9.4
631.8245	25.3	11.0
636.37	20.9	9.6
640.9155	22.7	9.3
645.461	20.9	10.3
672.734	18.7	10.6
677.2795	17.8	10.3
681.825	17.6	11.0
686.3705	18.7	8.1
690.916	18.6	11.0
695.4615	22.9	9.9
700.007	18.1	10.0
740.9165	16.2	8.5
786.3715	17.5	10.8
790.917	19.0	10.0
890.918	13.55	7.25
900.009	17.43	8.63
904.5545	16.42	7.34
927.282	14.03	7.62
