0.00910000	-5.90137359	-5.66370953
0.00930000	-7.74079546	-5.64216621
0.00950000	-3.72334056	-4.72758506
0.00970000	-3.58214756	-3.19967841
0.00990000	-3.79039274	-0.83419351
0.01010000	-3.49696534	-1.58655083
0.01030000	-2.68915146	-1.28676518
0.01050000	-4.18739678	-0.78470821
0.01070000	-1.22032878	-0.82839532
0.01090000	0.00970111	1.02828795
0.01110000	-0.77087467	0.94249450
0.01130000	1.19811599	1.61115319
0.01150000	2.55300876	1.76486724
0.01170000	2.47515654	2.81235181
0.01190000	6.41088759	2.39638197
0.01210000	5.84648246	5.70183213
0.01230000	5.99103183	8.49353193
0.01250000	9.31258510	7.79791942
0.01270000	8.11305228	8.07807999
0.01290000	8.73242592	10.86070102
0.01310000	8.31532127	11.40442427
0.01330000	12.49215166	10.09689675
0.01350000	12.88121524	11.58470259
0.01370000	11.32958782	9.92774885
0.01390000	9.63368129	14.20444091
0.01410000	9.75645683	9.28798163
0.01430000	6.63967668	6.31712567
0.01450000	5.27212361	4.33396291
0.01470000	5.66110769	5.24620910
0.01490000	4.60300690	3.26173970
0.01510000	3.93687439	2.22796731
0.01530000	5.25161585	1.60660963
0.01550000	1.60928717	3.89751979
0.01570000	0.40367160	1.56109520
0.01590000	1.17196008	1.06150188
0.01610000	-0.19356874	0.28271159
0.01630000	1.82722839	2.81730351
0.01650000	1.09208984	2.29902023
0.01670000	3.06488308	2.77805584
0.01690000	1.77274938	3.59962664
0.01710000	5.82854414	3.93227937
0.01730000	7.28557102	5.65069790
0.01750000	6.11965572	1.94270798
0.01770000	5.32357902	4.06008937
0.01790000	9.04732324	5.72024670
0.01810000	10.79396825	10.58598101
0.01830000	13.59366551	16.02076753
0.01850000	17.29667956	17.97613328
0.01870000	32.02311946	34.08356750
0.01890000	31.93073072	33.83914051
0.01910000	19.26617835	20.79335874
0.01930000	14.36011489	15.05493197
0.01950000	13.73512750	15.00647566
0.01970000	10.47086342	11.97846234
0.01990000	9.93561482	8.93211823
0.02010000	7.67541179	6.93989672
0.02030000	8.42427362	11.19528384
0.02050000	9.43029262	10.50433904
0.02070000	8.98933731	9.26370578
0.02090000	14.63051611	13.90835979
0.02110000	10.32575936	12.59578731
0.02130000	13.97794482	15.25109153
0.02150000	15.76667336	18.82268407
