sep=,
Type,FSVA3013,
Version,1.40,
Date,16.Oct 2023,
Mode,ANALYZER,
Preamplifier,OFF,
Transducer,OFF,
Center Freq,79500.000000,Hz
Freq Offset,0.000000,Hz
Start,9100.000000,Hz
Stop,149900.000000,Hz
Span,140800.000000,Hz
Ref Level,59.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,200.000000,Hz
VBW,2000.000000,Hz
SWT,0.029500,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,CLR/WRITE,
Detector,RMS,
Values,705,
9100,8.59095001220703125,
9300,3.09435272216796875,
9500,4.34343719482421875,
9700,8.083831787109375,
9900,17.20944976806640625,
10100,8.6550140380859375,
10300,10.624786376953125,
10500,12.54400634765625,
10700,3.78826141357421875,
10900,-2.01651763916015625,
11100,7.4141845703125,
11300,12.3071746826171875,
11500,8.89426422119140625,
11700,8.842254638671875,
11900,12.67632293701171875,
12100,14.18715667724609375,
12300,14.76025390625,
12500,19.5113067626953125,
12700,20.3556365966796875,
12900,34.30634307861328125,
13100,36.6243438720703125,
13300,31.50536346435546875,
13500,28.80144500732421875,
13700,27.542236328125,
13900,21.3852386474609375,
14100,22.72652435302734375,
14300,18.00278472900390625,
14500,17.59317779541015625,
14700,12.9873504638671875,
14900,12.16155242919921875,
15100,6.18824005126953125,
15300,4.32464599609375,
15500,13.78525543212890625,
15700,13.168182373046875,
15900,8.65093231201171875,
16100,9.40984344482421875,
16300,14.9573974609375,
16500,19.70339202880859375,
16700,13.1474761962890625,
16900,9.15535736083984375,
17100,16.9475250244140625,
17300,10.5246124267578125,
17500,13.36145782470703125,
17700,13.0550689697265625,
17900,6.9917755126953125,
18100,17.5535125732421875,
18300,19.676055908203125,
18500,23.9073638916015625,
18700,18.2017669677734375,
18900,14.4707794189453125,
19100,19.63037109375,
19300,19.83217620849609375,
19500,21.49132537841796875,
19700,19.4804229736328125,
19900,19.6584930419921875,
20100,25.62464141845703125,
20300,26.7878265380859375,
20500,27.6485748291015625,
20700,23.194732666015625,
20900,29.3666229248046875,
21100,25.1270751953125,
21300,18.66049957275390625,
21500,25.6844635009765625,
21700,27.85726165771484375,
21900,50.25493621826171875,
22100,54.3579864501953125,
22300,48.37261199951171875,
22500,29.662384033203125,
22700,27.0753936767578125,
22900,25.8590087890625,
23100,25.90444183349609375,
23300,24.9633026123046875,
23500,25.1149749755859375,
23700,26.64444732666015625,
23900,24.67690277099609375,
24100,24.7378387451171875,
24300,19.73769378662109375,
24500,25.17839813232421875,
24700,22.194976806640625,
24900,22.34056854248046875,
25100,17.47023773193359375,
25300,12.85079193115234375,
25500,22.04576873779296875,
25700,17.105010986328125,
25900,19.02236175537109375,
26100,19.207550048828125,
26300,22.4380950927734375,
26500,29.154541015625,
26700,25.37084197998046875,
26900,22.91033935546875,
27100,16.6658477783203125,
27300,14.54938507080078125,
27500,10.57489013671875,
27700,13.6652984619140625,
27900,10.64493560791015625,
28100,9.386077880859375,
28300,2.82462310791015625,
28500,14.2816009521484375,
28700,19.95278167724609375,
28900,14.54862213134765625,
29100,11.85118865966796875,
29300,18.7060089111328125,
29500,12.92897796630859375,
29700,18.74703216552734375,
29900,25.16878509521484375,
30100,7.61837005615234375,
30300,10.27059173583984375,
30500,4.83795166015625,
30700,8.56383514404296875,
30900,5.5487213134765625,
31100,13.4518280029296875,
31300,9.82880401611328125,
31500,12.64185333251953125,
31700,7.82561492919921875,
31900,14.5937957763671875,
32100,10.47006988525390625,
32300,6.50060272216796875,
32500,-2.5151824951171875,
32700,12.46569061279296875,
32900,5.712158203125,
33100,19.72153472900390625,
33300,17.8152923583984375,
33500,5.525238037109375,
33700,8.03157806396484375,
33900,6.49489593505859375,
34100,6.45214080810546875,
34300,11.09978485107421875,
34500,4.4203948974609375,
34700,6.2539825439453125,
34900,11.15230560302734375,
35100,9.8651580810546875,
35300,2.58637237548828125,
35500,7.40015411376953125,
35700,8.732635498046875,
35900,13.88953399658203125,
36100,15.76720428466796875,
36300,11.02640533447265625,
36500,20.44440460205078125,
36700,14.6941375732421875,
36900,15.75121307373046875,
37100,25.19012451171875,
37300,26.27783966064453125,
37500,16.7630615234375,
37700,10.74733734130859375,
37900,12.38820648193359375,
38100,11.55036163330078125,
38300,7.560943603515625,
38500,7.77750396728515625,
38700,8.175140380859375,
38900,6.468048095703125,
39100,3.21002960205078125,
39300,7.33904266357421875,
39500,11.0464935302734375,
39700,11.249786376953125,
39900,30.5751495361328125,
40100,31.0965728759765625,
40300,11.50909423828125,
40500,14.87514495849609375,
40700,9.91020965576171875,
40900,10.05350494384765625,
41100,11.27484130859375,
41300,12.59093475341796875,
41500,15.73783111572265625,
41700,14.26024627685546875,
41900,15.47000885009765625,
42100,18.035003662109375,
42300,13.33155059814453125,
42500,11.19770050048828125,
42700,15.709564208984375,
42900,17.1577606201171875,
43100,16.11829376220703125,
43300,24.7197723388671875,
43500,24.33306121826171875,
43700,27.64794158935546875,
43900,26.7771148681640625,
44100,44.385463714599609375,
44300,42.69957733154296875,
44500,39.14136505126953125,
44700,31.996978759765625,
44900,23.1539764404296875,
45100,16.125396728515625,
45300,16.3596038818359375,
